,ios_file_size,ios_all_ratings,ios_current_ratings,android_total_ratings,android_avg_rating,android_file_size,android_rating_4,android_rating_5,android_rating_2,android_rating_3,android_rating_1
"2016,10,25,11,30,00",259,227825,306,"6,849,156",4.0,android_file_size not found,"836,533","4,257,978","279,379","517,003","958,263"
"2016,07,26,15,50,00",110,117133,16197,"1,662,418",3.9,58,"221,510","954,960","87,858","151,789","246,301"
"2016,09,17,03,30,00",258,218632,335,"6,128,161",4.1,77,"752,556","3,830,492","249,618","464,478","831,017"
"2016,09,24,00,00,00",258,220799,ios_current_ratings not found,"6,320,585",4.1,76,"773,127","3,943,906","257,610","477,401","868,541"
"2016,07,31,07,10,00",104,124716,2889,"1,879,972",4.0,60,"253,295","1,090,356","96,684","170,175","269,462"
"2016,09,28,05,40,00",258,222012,1498,"6,463,143",4.1,76,"792,584","4,033,119","262,510","487,478","887,452"
"2016,08,09,21,30,00",106,191453,5195,"3,953,036",4.0,61,"485,565","2,447,552","174,342","306,982","538,595"
"2016,10,15,23,20,00",251,225280,598,"6,727,665",4.0,77,"821,871","4,188,298","273,672","507,355","936,469"
"2016,08,14,13,10,00",106,200312,6541,"4,689,235",4.1,61,"585,238","2,921,541","200,760","366,494","615,202"
"2016,08,26,21,30,00",211,208290,843,"5,355,811",4.1,61,"666,165","3,346,167","224,733","416,268","702,478"
"2016,10,15,02,30,00",251,224965,198,"6,709,984",4.0,77,"819,615","4,177,425","273,102","506,129","933,713"
"2016,09,25,01,50,00",258,221203,559,"6,354,910",4.1,android_file_size not found,"777,254","3,966,538","258,746","479,704","872,668"
"2016,10,31,23,40,00",259,230601,2436,"7,003,524",4.0,android_file_size not found,"856,048","4,351,611","285,051","528,559","982,255"
"2016,09,09,07,00,00",211,215080,8836,"5,752,874",4.1,61,"712,120","3,607,500","239,235","445,251","748,768"
"2016,08,24,06,10,00",106,207703,ios_current_ratings not found,"5,215,430",4.1,61,"648,328","3,254,712","219,856","406,385","686,149"
"2016,08,22,19,00,00",106,206689,13834,"5,132,794",4.1,61,"636,879","3,200,524","217,722","401,035","676,634"
"2016,08,11,16,30,00",106,196817,2316,"4,381,157",4.1,61,"548,922","2,725,822","188,441","341,293","576,679"
"2016,08,15,14,40,00",106,201245,7640,"4,766,784",4.1,61,"594,572","2,969,938","203,820","372,941","625,513"
"2016,10,11,20,10,00",258,224252,4191,"6,650,006",4.0,android_file_size not found,"811,849","4,142,612","270,730","501,783","923,032"
"2016,08,11,23,30,00",106,197217,3172,"4,401,839",4.1,61,"551,491","2,739,241","189,208","342,960","578,939"
"2016,08,19,12,20,00",106,204548,11407,"4,985,440",4.1,61,"619,785","3,105,886","212,304","390,351","657,114"
"2016,09,09,08,50,00",211,215080,8836,"5,752,874",4.1,61,"712,120","3,607,500","239,235","445,251","748,768"
"2016,09,20,13,50,00",258,220010,1909,"6,249,432",4.1,77,"765,536","3,901,845","254,654","472,429","854,968"
"2016,09,13,20,40,00",260,216813,233,"5,953,226",4.1,77,"735,704","3,739,756","243,640","455,807","778,319"
"2016,07,25,01,30,00",110,114769,13633,"1,569,172",3.9,58,"208,076","898,836","83,803","143,639","234,818"
"2016,09,20,17,20,00",258,220042,1945,"6,253,711",4.1,77,"765,939","3,904,349","254,864","472,681","855,878"
"2016,10,10,10,00,00",258,224077,3963,"6,631,726",4.1,76,"809,769","4,132,120","269,835","500,181","919,821"
"2016,08,07,11,00,00",104,183447,43032,"3,423,731",4.0,60,"412,476","2,099,789","156,385","267,837","487,244"
"2016,09,24,07,40,00",258,220870,144,"6,331,228",4.1,76,"774,514","3,950,835","257,956","478,156","869,767"
"2016,08,27,21,10,00",211,210222,3175,"5,401,261",4.1,61,"671,209","3,376,014","226,320","419,590","708,128"
"2016,10,26,22,10,00",259,228367,ios_current_ratings not found,"6,888,468",4.0,android_file_size not found,"843,213","4,284,140","280,389","519,884","960,842"
"2016,10,31,01,00,00",259,230438,2232,"6,991,398",4.0,android_file_size not found,"854,821","4,344,932","284,504","527,604","979,537"
